농장아이디,개체 구별 번호,산차,교배지수,경과일,교배일,임신 사고기간,임신 사고 원인,임신 기간,분만일,총산자수,미라,사산,실산자수,생시도태두수,양자전입두수,양자전출두수,포유자돈폐사 두수,부분이유 두수,포유기간,이유일,이유두수
PF_0020292,1460,0,1,257,20201216,,,116,20210411,12,0,0,12,0,0,0,,,25,20210506,12
PF_0020292,957,2,1,4,20201026,,,117,20210220,15,0,5,10,0,0,0,,,26,20210318,11
PF_0020292,556,5,1,4,20201109,,,117,20210306,13,0,0,13,0,0,0,,,26,20210401,10
PF_0020292,602,4,1,5,20201110,,,116,20210306,14,0,0,14,0,0,0,,,26,20210401,12
PF_0020292,1418,0,1,222,20201111,,,121,20210312,13,0,0,13,0,0,0,,,20,20210401,13
PF_0020292,1015,2,1,4,20201221,,,117,20210417,15,0,0,15,0,0,0,,,26,20210513,12
PF_0020292,965,2,1,5,20201117,,,116,20210313,12,0,0,12,0,0,0,,,26,20210408,11
PF_0020292,966,2,1,4,20201123,,,117,20210320,14,0,1,13,0,0,0,,,26,20210415,11
PF_0020292,895,2,1,5,20201124,,,116,20210320,16,0,3,13,0,0,0,,,26,20210415,11
PF_0020292,1448,0,1,248,20201207,,,113,20210330,13,0,0,13,0,0,0,,,,,
PF_0020292,1454,0,1,254,20201213,,,117,20210409,12,0,0,12,0,0,0,,,27,20210506,12
PF_0020292,977,1,3,130,20201129,,,118,20210327,12,0,0,12,0,0,0,,,26,20210422,11
PF_0020292,1210,1,1,5,20201222,,,110,20210411,8,0,2,6,0,0,0,,,25,20210506,10
PF_0020292,1205,1,1,13,20201223,,,116,20210418,13,0,0,13,0,0,0,,,25,20210513,10
PF_0020292,1186,1,2,8,20201223,,,117,20210419,13,0,0,13,0,0,0,,,24,20210513,13
PF_0020292,1478,0,1,238,20201227,,,114,20210420,11,0,2,9,0,0,0,,,30,20210520,12
PF_0020292,811,3,1,5,20201110,,,115,20210305,13,0,0,13,0,0,0,,,27,20210401,11
PF_0020292,822,3,1,5,20201110,,,116,20210306,10,0,0,10,0,0,0,,,26,20210401,11
PF_0020291,916,0,1,224,20201013,,,116,20210206,13,0,1,12,0,0,0,,,26,20210304,10
PF_0020291,954,0,1,291,20201201,,,116,20210327,13,0,0,13,0,0,0,,,26,20210422,12
PF_0020291,985,0,1,225,20210126,,,116,20210522,16,0,1,15,0,0,0,,,,,
PF_0020292,843,3,1,18,20201228,,,117,20210424,15,0,0,15,0,0,0,,,26,20210520,11
PF_0020292,865,3,1,5,20201229,,,116,20210424,13,0,3,10,0,0,0,,,26,20210520,13
PF_0020292,1286,1,1,5,20201229,,,117,20210425,15,0,0,15,0,0,0,,,25,20210520,12
PF_0020291,497,8,2,175,20201012,,,116,20210205,7,0,0,7,0,0,0,,,27,20210304,8
PF_0020291,963,0,1,311,20201224,,,115,20210418,15,0,1,14,0,0,0,,,25,20210513,12
