"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명"
"3220000","CDFF4220002000000007","20000504","","01","영업/정상","BBBB","","","","","","","","135090","서울특별시 강남구 삼성동 159-0번지 ","서울특별시 강남구 영동대로 511  (삼성동)","","메가박스씨네플렉스(주)","20030208135458","I","2018-08-31 23:59:59.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000504",""
"3220000","CDFF4220002000000008","20000504","","01","영업/정상","BBBB","","","","","","","","135090","서울특별시 강남구 삼성동 159-0번지 ","서울특별시 강남구 영동대로 511  (삼성동)","","메가박스씨네플렉스(주)","20030208135458","I","2018-08-31 23:59:59.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000504",""
"3220000","CDFF4220002000000009","20000504","","01","영업/정상","BBBB","","","","","","","","135090","서울특별시 강남구 삼성동 159-0번지 ","서울특별시 강남구 영동대로 511  (삼성동)","","메가박스씨네플렉스(주)","20030208135458","I","2018-08-31 23:59:59.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000504",""
"3220000","CDFF4220002000000010","20000504","","01","영업/정상","BBBB","","","","","","","","135090","서울특별시 강남구 삼성동 159-0번지 ","서울특별시 강남구 영동대로 511  (삼성동)","","메가박스씨네플렉스(주)","20030208135458","I","2018-08-31 23:59:59.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000504",""
"3220000","CDFF4220002000000011","20000504","","01","영업/정상","BBBB","","","","","","","","135090","서울특별시 강남구 삼성동 159-0번지 ","서울특별시 강남구 영동대로 511  (삼성동)","","메가박스씨네플렉스(주)","20030208135458","I","2018-08-31 23:59:59.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000504",""
"3220000","CDFF4220002000000012","20000504","","01","영업/정상","BBBB","","","","","","","","135090","서울특별시 강남구 삼성동 159-0번지 ","서울특별시 강남구 영동대로 511  (삼성동)","","메가박스씨네플렉스(주)","20030208135458","I","2018-08-31 23:59:59.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000504",""
"3220000","CDFF4220002000000013","20000504","","01","영업/정상","BBBB","","","","","","","","135090","서울특별시 강남구 삼성동 159-0번지 ","서울특별시 강남구 영동대로 511  (삼성동)","","메가박스씨네플렉스(주)","20030208135458","I","2018-08-31 23:59:59.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000504",""
"3220000","CDFF4220002000000014","20000504","","01","영업/정상","BBBB","","","","","","","","135090","서울특별시 강남구 삼성동 159-0번지 ","서울특별시 강남구 영동대로 511  (삼성동)","","메가박스씨네플렉스(주)","20030208135458","I","2018-08-31 23:59:59.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000504",""
"3220000","CDFF4220002000000015","20000504","","01","영업/정상","BBBB","","","","","","","","135090","서울특별시 강남구 삼성동 159-0번지 ","서울특별시 강남구 영동대로 511  (삼성동)","","메가박스씨네플렉(주)","20030208135458","I","2018-08-31 23:59:59.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000504",""
"3220000","CDFF4220002000000016","20000504","","01","영업/정상","BBBB","","","","","","","","135090","서울특별시 강남구 삼성동 159-0번지 ","서울특별시 강남구 영동대로 511  (삼성동)","","메가박스씨네플렉스(주)","20030208135458","I","2018-08-31 23:59:59.0","","205130.591678902    ","445590.096837802    ","영화상영관","영화상영관","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","20000504",""
