개체 ID,그룹,상태,산차,출생 후 일수/연령,최근 수정 이후 경과일수,임신 일수,예상 분만
6079,2동,임신,3,274,177,177,"2022.12.25.
+108 Days"
1099,3동,임신,7,241,177,177,"2022.12.25.
+108 Days"
9002,3동,수정됨,2,231,176,,"2022.12.26.
+109 Days"
8092,아래,임신,2,250,176,176,"2022.12.26.
+109 Days"
7019,2동,임신,3,337,176,176,"2022.12.26.
+109 Days"
6073,3동,임신,4,215,176,176,"2022.12.26.
+109 Days"
3906,3동,임신,7,228,174,174,"2022.12.28.
+111 Days"
9010,3동,임신,2,214,174,174,"2022.12.28.
+111 Days"
3902,3동,임신,6,247,174,174,"2022.12.28.
+111 Days"
7204,3동,임신,3,223,174,174,"2022.12.28.
+111 Days"
3040,1동,수정됨,5,447,172,,"2022.12.30.
+113 Days"
8083,3동,임신,2,241,171,171,"2022.12.31.
+114 Days"
8045,3동,임신,2,226,170,170,"2023.01.01.
+115 Days"
0006,아래,수정됨,1,233,169,,"2023.01.02.
+116 Days"
0027,2동,임신된 미경산우,0,902,166,166,"2023.01.05.
+119 Days"
4055,3동,임신,5,249,166,166,"2023.01.05.
+119 Days"
7090,1동,임신,3,279,166,166,"2023.01.05.
+119 Days"
4069,1동,임신,5,221,164,164,"2023.01.07.
+121 Days"
6047,3동,임신,4,205,162,162,"2023.01.09.
+123 Days"
5076,3동,수정됨,4,253,162,,"2023.01.09.
+123 Days"
0001,아래,임신,1,202,160,160,"2023.01.11.
+125 Days"
2054,3동,임신,7,242,159,159,"2023.01.12.
+126 Days"
