id,_id,sensor_ver,msg_ver,sensorID,macAddr,battery,temp,hPa,acc_x,acc_y,acc_z,vector,rssi,time,packetnum,krTime
107,2022-08-01 1:26,N,4,10,60:A4:23:C9:A0:4C,3,29.7,1006,25,39,27,62,75,2022-08-01 1:26,89,2022-08-01 10:26
108,2022-08-01 1:27,N,4,19,60:A4:23:D4:5D:84,3,33.9,1029,92,119,93,204,77,2022-08-01 1:27,87,2022-08-01 10:27
109,2022-08-01 1:28,N,4,13,60:A4:23:C9:A0:3E,3,33.2,1023,42,61,40,98,91,2022-08-01 1:28,88,2022-08-01 10:28
110,2022-08-01 1:30,N,4,14,60:A4:23:C9:A0:2F,3.1,32.5,1016,51,55,42,99,66,2022-08-01 1:30,88,2022-08-01 10:30
111,2022-08-01 1:31,N,4,11,60:A4:23:C9:A0:9B,3,32.7,1010,37,46,30,77,69,2022-08-01 1:31,89,2022-08-01 10:31
112,2022-08-01 1:32,N,4,15,60:A4:23:C9:A0:3B,3,31.5,1026,20,23,17,40,72,2022-08-01 1:32,88,2022-08-01 10:32
113,2022-08-01 1:32,V,3,001A,60:A4:23:7C:A5:F3,1.1,27.5,1014,4,5,6,10,92,2022-08-01 1:32,82,2022-08-01 10:32
114,2022-08-01 1:32,N,4,12,60:A4:23:C9:A0:4D,3,27.3,1022,17,24,17,39,73,2022-08-01 1:32,89,2022-08-01 10:32
115,2022-08-01 1:32,N,4,16,60:A4:23:D4:5D:A3,3.1,32.2,1006,21,28,23,50,71,2022-08-01 1:32,88,2022-08-01 10:33
116,2022-08-01 1:34,N,4,17,60:A4:23:D4:5D:C7,3.1,30.7,1009,51,64,50,113,72,2022-08-01 1:34,88,2022-08-01 10:34
117,2022-08-01 1:35,V,3,001C,60:A4:23:7F:49:30,1.3,29.3,1014,4,4,5,10,86,2022-08-01 1:35,53,2022-08-01 10:35
118,2022-08-01 1:35,N,4,18,60:A4:23:C9:A0:E3,3.1,33.5,1006,46,70,51,112,68,2022-08-01 1:35,88,2022-08-01 10:35
119,2022-08-01 1:35,V,3,001D,60:A4:23:7F:3D:52,1.3,24.7,1014,5,4,6,10,93,2022-08-01 1:35,83,2022-08-01 10:35
120,2022-08-01 1:36,N,4,10,60:A4:23:C9:A0:4C,3,30.1,1006,24,35,29,59,86,2022-08-01 1:36,90,2022-08-01 10:36
121,2022-08-01 1:37,N,4,19,60:A4:23:D4:5D:84,3,34.1,1029,54,84,55,131,72,2022-08-01 1:37,88,2022-08-01 10:37
122,2022-08-01 1:38,N,4,13,60:A4:23:C9:A0:3E,3,32.8,1023,34,38,29,68,73,2022-08-01 1:38,89,2022-08-01 10:38
123,2022-08-01 1:40,N,4,14,60:A4:23:C9:A0:2F,3.1,32.6,1016,50,64,52,112,75,2022-08-01 1:40,89,2022-08-01 10:40
124,2022-08-01 1:41,N,4,11,60:A4:23:C9:A0:9B,3,32.9,1010,35,36,24,65,68,2022-08-01 1:41,90,2022-08-01 10:41
125,2022-08-01 1:42,N,4,15,60:A4:23:C9:A0:3B,3,31.8,1026,23,29,23,51,70,2022-08-01 1:42,89,2022-08-01 10:42
126,2022-08-01 1:42,V,3,001A,60:A4:23:7C:A5:F3,1.1,27.6,1014,4,4,6,10,95,2022-08-01 1:42,83,2022-08-01 10:42
127,2022-08-01 1:42,N,4,12,60:A4:23:C9:A0:4D,3,27.7,1022,66,92,69,153,70,2022-08-01 1:42,90,2022-08-01 10:42
128,2022-08-01 1:42,N,4,16,60:A4:23:D4:5D:A3,3.1,32,1006,22,27,22,48,72,2022-08-01 1:42,89,2022-08-01 10:43
129,2022-08-01 1:44,N,4,17,60:A4:23:D4:5D:C7,3.1,30.9,1009,45,63,48,106,82,2022-08-01 1:44,89,2022-08-01 10:44
130,2022-08-01 1:45,N,4,18,60:A4:23:C9:A0:E3,3.1,33.9,1006,50,72,54,118,77,2022-08-01 1:45,89,2022-08-01 10:45
